,length (m),temperature (°C),Stokes,anti-Stokes
226,-517.9019999999999,140.082,-0.428,-0.5710000000000001
227,-516.887,-200.0,-0.106,-0.991
228,-515.872,-103.135,0.687,-0.16399999999999998
229,-514.8580000000001,800.0,0.126,0.5479999999999999
230,-513.8430000000001,232.002,0.34600000000000003,0.574
231,-512.8290000000001,-113.59200000000001,0.461,-0.091
232,-511.814,-145.256,0.638,0.057999999999999996
233,-510.79900000000004,15.245,-0.5820000000000001,-0.461
234,-509.785,-200.0,-0.057,0.335
235,-508.77,-52.371,-0.684,0.32
236,-507.756,-84.611,0.732,0.233
237,-506.741,89.363,0.42,0.474
238,-505.726,191.465,-0.336,0.511
239,-504.712,722.3919999999999,0.212,0.57
240,-503.69699999999995,-200.0,0.052000000000000005,-0.324
241,-502.68300000000005,800.0,0.201,0.581
242,-501.668,800.0,-0.126,0.35100000000000003
243,-500.653,-200.0,0.011000000000000001,0.11699999999999999
244,-499.639,-62.806999999999995,-0.386,0.162
245,-498.624,-98.70299999999999,-0.557,0.14300000000000002
246,-497.61,-102.865,0.14300000000000002,-0.034
247,-496.595,324.222,-0.165,-0.319
248,-495.58099999999996,84.137,-0.385,0.426
249,-494.566,800.0,-0.172,0.682
250,-493.551,-129.472,-0.457,-0.064
251,-492.537,-1.21,-0.298,0.213
252,-491.522,576.972,0.07,-0.17300000000000001
253,-490.50800000000004,-66.14399999999999,0.5760000000000001,0.23199999999999998
254,-489.49300000000005,84.492,-0.08,-0.08800000000000001
255,-488.478,-77.765,0.467,-0.163
256,-487.464,-53.126000000000005,-0.615,-0.28600000000000003
257,-486.449,800.0,-0.113,-0.36200000000000004
258,-485.435,-159.089,-0.515,-0.028999999999999998
259,-484.42,66.31,-0.243,-0.249
260,-483.405,800.0,-0.07,0.198
261,-482.39099999999996,445.892,0.18600000000000003,0.41200000000000003
262,-481.376,111.647,-0.262,0.32
263,-480.36199999999997,-123.512,0.408,-0.066
264,-479.347,-200.0,0.018000000000000002,0.5760000000000001
265,-478.332,-200.0,-0.005,-0.45
266,-477.31800000000004,-169.475,0.38799999999999996,0.013999999999999999
267,-476.30300000000005,155.187,0.5720000000000001,0.795
268,-475.289,15.557,0.736,0.584
269,-474.274,45.23,0.429,-0.39899999999999997
270,-473.259,-105.365,-0.602,0.138
271,-472.245,-11.202,-0.502,0.33399999999999996
272,-471.23,267.861,-0.281,-0.496
273,-470.216,90.97200000000001,0.264,0.299
274,-469.20099999999996,-40.346,-0.49,-0.257
275,-468.186,-103.061,0.87,-0.20800000000000002
276,-467.17199999999997,-200.0,0.013999999999999999,0.267
277,-466.157,10.838,0.516,-0.39799999999999996
278,-465.14300000000003,97.944,-0.272,0.316
279,-464.12800000000004,13.817,-0.5720000000000001,-0.449
280,-463.11300000000006,-101.025,-0.285,-0.07
281,-462.099,-92.806,-0.325,0.092
282,-461.084,136.16,-0.449,-0.59
283,-460.07,-106.99600000000001,0.5710000000000001,0.127
284,-459.055,-164.41099999999997,0.447,-0.021
285,-458.04,484.539,-0.23,0.528
286,-457.026,49.678999999999995,0.184,-0.175
287,-456.01099999999997,-200.0,0.016,-0.45299999999999996
288,-454.99699999999996,-65.75,-0.086,-0.035
289,-453.98199999999997,-130.325,1.4369999999999998,-0.19699999999999998
290,-452.968,4.5360000000000005,-0.395,0.292
291,-451.95300000000003,-200.0,-0.159,-0.991
292,-450.93800000000005,27.163,-0.621,-0.526
293,-449.92400000000004,-179.764,0.537,-0.012
294,-448.909,800.0,-0.066,0.249
295,-447.895,89.387,-0.5660000000000001,-0.636
296,-446.88,152.405,-0.265,0.366
297,-445.865,72.207,0.7170000000000001,0.753
298,-444.851,5.039,-0.504,-0.374
299,-443.836,-101.661,0.413,0.10099999999999999
300,-442.82199999999995,-200.0,-0.574,0.0
301,-441.80699999999996,215.045,0.172,0.275
302,-440.792,-200.0,-0.037000000000000005,0.5670000000000001
303,-439.778,-200.0,0.006999999999999999,-0.188
304,-438.76300000000003,-200.0,0.10099999999999999,-0.643
305,-437.749,-200.0,0.047,0.325
306,-436.73400000000004,720.797,-0.099,0.265
307,-435.719,188.53799999999998,0.353,0.5329999999999999
308,-434.705,-200.0,-0.033,0.47
309,-433.69,509.67,-0.125,0.292
310,-432.676,190.533,0.063,0.095
311,-431.661,-71.719,-0.33899999999999997,0.127
312,-430.64599999999996,-96.145,-0.363,0.09699999999999999
313,-429.63199999999995,800.0,-0.21899999999999997,-0.6940000000000001
314,-428.61699999999996,-200.0,0.075,-0.555
315,-427.603,-148.175,-0.395,0.033
316,-426.588,-94.194,0.7040000000000001,0.19399999999999998
317,-425.57300000000004,-200.0,0.048,0.244
318,-424.559,-22.811,-0.531,0.32299999999999995
319,-423.54400000000004,-200.0,-0.002,0.10099999999999999
320,-422.53,800.0,0.055999999999999994,-0.23199999999999998
321,-421.515,-200.0,0.21899999999999997,1.103
322,-420.5,-200.0,-0.036000000000000004,-0.536
323,-419.486,-39.556999999999995,-0.77,-0.406
324,-418.471,-83.271,-0.083,0.027000000000000003
325,-417.457,-191.024,-0.23600000000000002,0.002
